Setting up DRV SPI
Finished DRV SPI setup
baseline
6	4	-1.97529	0.659
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.08106	1.694
2	6	-0.96736	0.323
3	2	-6.17085	2.057
4	5	-2.99699	0.999
5	1	-4.05803	1.353
6	4	-1.83979	0.613
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.01220	1.671
2	6	-0.85355	0.285
3	2	-6.16883	2.056
4	5	-3.07531	1.025
5	1	-3.94747	1.316
6	4	-1.92126	0.641
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.11120	1.704
2	6	-0.91264	0.304
3	2	-6.10364	2.035
4	5	-2.98559	0.995
5	1	-4.04432	1.348
6	4	-1.90735	0.636
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.03505	1.678
2	6	-0.85989	0.287
3	2	-6.20883	2.070
4	5	-3.09531	1.032
5	1	-4.05263	1.351
6	4	-1.93486	0.645
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.15902	1.720
2	6	-0.97053	0.324
3	0	0.00000	0.000
4	5	-3.05634	1.019
5	1	-4.08546	1.362
6	4	-1.88711	0.629
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.13402	1.711
2	6	-0.90917	0.303
3	0	0.00000	0.000
4	5	-3.18995	1.063
5	1	-4.07247	1.358
6	4	-2.00089	0.667
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.27988	1.760
2	6	-1.04788	0.349
3	0	0.00000	0.000
4	5	-3.14423	1.048
5	1	-4.16244	1.388
6	4	-2.10160	0.701
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.23599	1.745
2	6	-1.05265	0.351
3	2	-0.03887	0.013
4	5	-3.30245	1.101
5	1	-4.29901	1.433
6	4	-2.10765	0.703
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.36507	1.788
2	6	-1.17049	0.390
3	2	-0.05888	0.020
4	5	-3.32550	1.109
5	1	-4.27839	1.426
6	4	-2.17778	0.726
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.36288	1.788
2	6	-1.10745	0.369
3	2	-0.21713	0.072
4	5	-3.34819	1.116
5	1	-4.32684	1.442
6	4	-2.17081	0.724
7	0	0.00000	0.000

recheck baseline
0	0	0.00000	0.000
1	5	2.62575	2.626
2	3	0.55184	0.552
3	1	1.51047	1.511
4	6	4.73160	4.732
5	4	3.68863	3.689
6	2	5.77049	5.771
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.19662	5.197
2	6	-0.89331	0.893
3	2	-6.13389	6.134
4	5	-3.05292	3.053
5	1	-4.14923	4.149
6	4	-1.93352	1.934
7	0	0.00000	0.000

0	0	0.00000	0.000
1	5	2.62539	2.626
2	3	0.56057	0.561
3	1	1.51037	1.510
4	6	4.73230	4.732
5	4	3.68852	3.689
6	2	5.77121	5.771
7	0	0.00000	0.000

0	0	0.00000	0.000
1	3	-5.19734	5.197
2	6	-0.89216	0.892
3	2	-6.13308	6.133
4	5	-3.05325	3.053
5	1	-4.15006	4.150
6	4	-1.93426	1.934
7	0	0.00000	0.000

