x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-22.33800E-03,+15.25000000E+00,-500.00000E-03,-387.50000E-03,-1.79625002E+00
-22.28800E-03,+15.17500000E+00,-500.00000E-03,-625.00000E-03,-1.71750002E+00
-22.23800E-03,+15.01250000E+00,-425.00000E-03,-550.00000E-03,-1.68625002E+00
-22.18800E-03,+15.32500000E+00,-262.50000E-03,-312.50000E-03,-1.65500002E+00
-22.13800E-03,+15.41250000E+00,-500.00000E-03,-387.50000E-03,-1.60875002E+00
-22.08800E-03,+15.01250000E+00,-500.00000E-03,-625.00000E-03,-1.50750002E+00
-22.03800E-03,+15.25000000E+00,-425.00000E-03,-625.00000E-03,-1.38250002E+00
-21.98800E-03,+15.25000000E+00,-262.50000E-03,-625.00000E-03,-1.27250002E+00
-21.93800E-03,+15.32500000E+00,-500.00000E-03,-625.00000E-03,-1.18750002E+00
-21.88800E-03,+15.48750000E+00,-500.00000E-03,-625.00000E-03,-1.05375002E+00
-21.83800E-03,+15.25000000E+00,-500.00000E-03,-625.00000E-03,-983.75002E-03
-21.78800E-03,+15.25000000E+00,-500.00000E-03,-625.00000E-03,-867.50002E-03
-21.73800E-03,+15.25000000E+00,-575.00000E-03,-625.00000E-03,-695.00002E-03
-21.68800E-03,+15.32500000E+00,-737.50000E-03,-550.00000E-03,-570.00002E-03
-21.63800E-03,+15.48750000E+00,-500.00000E-03,-312.50000E-03,-460.00002E-03
-21.58800E-03,+15.25000000E+00,-425.00000E-03,-312.50000E-03,-390.00002E-03
-21.53800E-03,+15.25000000E+00,-262.50000E-03,-312.50000E-03,-281.25002E-03
-21.48800E-03,+15.25000000E+00,-575.00000E-03,-312.50000E-03,-140.00002E-03
-21.43800E-03,+15.32500000E+00,-737.50000E-03,-237.50000E-03,-46.25002E-03
-21.38800E-03,+15.48750000E+00,-500.00000E-03,-150.00000E-03,+32.49998E-03
-21.33800E-03,+15.25000000E+00,-425.00000E-03,-550.00000E-03,+71.24998E-03
-21.28800E-03,+15.32500000E+00,-337.50000E-03,-387.50000E-03,+118.74998E-03
-21.23800E-03,+15.48750000E+00,-662.50000E-03,-550.00000E-03,+148.74998E-03
-21.18800E-03,+15.32500000E+00,-187.50000E-03,-312.50000E-03,+243.74998E-03
-21.13800E-03,+15.56250000E+00,-262.50000E-03,-312.50000E-03,+243.74998E-03
-21.08800E-03,+15.56250000E+00,-500.00000E-03,-387.50000E-03,+243.74998E-03
-21.03800E-03,+15.56250000E+00,-425.00000E-03,-625.00000E-03,+228.74998E-03
-20.98800E-03,+15.63750000E+00,-262.50000E-03,-625.00000E-03,+173.74998E-03
-20.93800E-03,+15.80000000E+00,-425.00000E-03,-550.00000E-03,+134.99998E-03
-20.88800E-03,+15.63750000E+00,-262.50000E-03,-387.50000E-03,+72.49998E-03
-20.83800E-03,+15.80000000E+00,-500.00000E-03,-550.00000E-03,-5.00002E-03
-20.78800E-03,+15.63750000E+00,-500.00000E-03,-387.50000E-03,-145.00002E-03
-20.73800E-03,+15.80000000E+00,-425.00000E-03,-625.00000E-03,-325.00002E-03
-20.68800E-03,+15.48750000E+00,-262.50000E-03,-550.00000E-03,-481.25002E-03
-20.63800E-03,+15.40000000E+00,-425.00000E-03,-387.50000E-03,-637.50002E-03
-20.58800E-03,+15.80000000E+00,-187.50000E-03,-550.00000E-03,-808.75002E-03
-20.53800E-03,+15.48750000E+00,-262.50000E-03,-387.50000E-03,-1.04250002E+00
-20.48800E-03,+15.25000000E+00,-425.00000E-03,-625.00000E-03,-1.31625002E+00
-20.43800E-03,+15.32500000E+00,-262.50000E-03,-625.00000E-03,-1.58875002E+00
-20.38800E-03,+15.48750000E+00,-500.00000E-03,-550.00000E-03,-1.91000002E+00
-20.33800E-03,+11.27500000E+00,-500.00000E-03,-387.50000E-03,-1.98000002E+00
-20.28800E-03,+2.13750000E+00,-575.00000E-03,-625.00000E-03,-1.22500002E+00
-20.23800E-03,+12.98750000E+00,-812.50000E-03,-625.00000E-03,-30.00002E-03
-20.18800E-03,+12.75000000E+00,-737.50000E-03,-550.00000E-03,-13.75002E-03
-20.13800E-03,+12.60000000E+00,-425.00000E-03,-387.50000E-03,-37.50002E-03
-20.08800E-03,+12.12500000E+00,-262.50000E-03,-550.00000E-03,-30.00002E-03
-20.03800E-03,+12.05000000E+00,-425.00000E-03,-312.50000E-03,+1.24998E-03
-19.98800E-03,+11.66250000E+00,-187.50000E-03,-387.50000E-03,+17.49998E-03
-19.93800E-03,+11.03750000E+00,-262.50000E-03,-625.00000E-03,-6.25002E-03
-19.88800E-03,+10.56250000E+00,-500.00000E-03,-550.00000E-03,-21.25002E-03
