x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-22.33800E-03,-375.00000E-03,-425.00000E-03,-312.50000E-03,+1.15749998E+00
-22.28800E-03,-375.00000E-03,-262.50000E-03,-312.50000E-03,+91.24998E-03
-22.23800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+579.99998E-03
-22.18800E-03,-450.00000E-03,-500.00000E-03,-625.00000E-03,+954.99998E-03
-22.13800E-03,-612.50000E-03,-500.00000E-03,-700.00000E-03,+262.49998E-03
-22.08800E-03,-375.00000E-03,-500.00000E-03,-862.50000E-03,+219.99998E-03
-22.03800E-03,-450.00000E-03,-500.00000E-03,-550.00000E-03,+912.49998E-03
-21.98800E-03,-687.50000E-03,-500.00000E-03,-312.50000E-03,+864.99998E-03
-21.93800E-03,-612.50000E-03,-500.00000E-03,-312.50000E-03,+89.99998E-03
-21.88800E-03,-450.00000E-03,-575.00000E-03,-312.50000E-03,+666.24998E-03
-21.83800E-03,-687.50000E-03,-737.50000E-03,-312.50000E-03,+919.99998E-03
-21.78800E-03,-612.50000E-03,-500.00000E-03,-312.50000E-03,+53.74998E-03
-21.73800E-03,-300.00000E-03,-500.00000E-03,-387.50000E-03,+408.74998E-03
-21.68800E-03,-137.50000E-03,-500.00000E-03,-550.00000E-03,+893.74998E-03
-21.63800E-03,-375.00000E-03,-425.00000E-03,-312.50000E-03,+579.99998E-03
-21.58800E-03,-375.00000E-03,-337.50000E-03,-387.50000E-03,+112.49998E-03
-21.53800E-03,-375.00000E-03,-737.50000E-03,-550.00000E-03,+767.49998E-03
-21.48800E-03,-450.00000E-03,-575.00000E-03,-387.50000E-03,+1.01499998E+00
-21.43800E-03,-687.50000E-03,-737.50000E-03,-625.00000E-03,+68.74998E-03
-21.38800E-03,-687.50000E-03,-500.00000E-03,-550.00000E-03,+478.74998E-03
-21.33800E-03,-612.50000E-03,-500.00000E-03,-387.50000E-03,+882.49998E-03
-21.28800E-03,-450.00000E-03,-500.00000E-03,-550.00000E-03,+333.74998E-03
-21.23800E-03,-687.50000E-03,-425.00000E-03,-387.50000E-03,+204.99998E-03
-21.18800E-03,-612.50000E-03,-262.50000E-03,-625.00000E-03,+894.99998E-03
-21.13800E-03,-450.00000E-03,-575.00000E-03,-625.00000E-03,+967.49998E-03
-21.08800E-03,-612.50000E-03,-662.50000E-03,-550.00000E-03,+98.74998E-03
-21.03800E-03,-375.00000E-03,-262.50000E-03,-312.50000E-03,+603.74998E-03
-20.98800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+947.49998E-03
-20.93800E-03,-450.00000E-03,-500.00000E-03,-550.00000E-03,+276.24998E-03
-20.88800E-03,-612.50000E-03,-575.00000E-03,-387.50000E-03,+361.24998E-03
-20.83800E-03,-375.00000E-03,-737.50000E-03,-550.00000E-03,+961.24998E-03
-20.78800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+793.74998E-03
-20.73800E-03,-375.00000E-03,-500.00000E-03,-625.00000E-03,+119.99998E-03
-20.68800E-03,-375.00000E-03,-500.00000E-03,-625.00000E-03,+813.74998E-03
-20.63800E-03,-375.00000E-03,-500.00000E-03,-550.00000E-03,+1.16124998E+00
-20.58800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+298.74998E-03
-20.53800E-03,-375.00000E-03,-500.00000E-03,-625.00000E-03,+477.49998E-03
-20.48800E-03,-375.00000E-03,-575.00000E-03,-625.00000E-03,+1.06624998E+00
-20.43800E-03,-450.00000E-03,-737.50000E-03,-625.00000E-03,+712.49998E-03
-20.38800E-03,-612.50000E-03,-575.00000E-03,-625.00000E-03,+313.74998E-03
-20.33800E-03,-375.00000E-03,-737.50000E-03,-550.00000E-03,+1.11124998E+00
-20.28800E-03,-375.00000E-03,-500.00000E-03,-312.50000E-03,+1.39624998E+00
-20.23800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+531.24998E-03
-20.18800E-03,-375.00000E-03,-500.00000E-03,-550.00000E-03,+867.49998E-03
-20.13800E-03,-450.00000E-03,-500.00000E-03,-387.50000E-03,+1.45124998E+00
-20.08800E-03,-537.50000E-03,-500.00000E-03,-550.00000E-03,+1.00624998E+00
