x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-20.58800E-03,-137.50000E-03,-737.50000E-03,-312.50000E-03,+948.74998E-03
-20.53800E-03,-450.00000E-03,-425.00000E-03,-312.50000E-03,+1.08499998E+00
-20.48800E-03,-612.50000E-03,-262.50000E-03,-387.50000E-03,+184.99998E-03
-20.43800E-03,-375.00000E-03,-500.00000E-03,-550.00000E-03,+696.24998E-03
-20.38800E-03,-375.00000E-03,-500.00000E-03,-312.50000E-03,+1.15749998E+00
-20.33800E-03,-450.00000E-03,-500.00000E-03,-312.50000E-03,+497.49998E-03
-20.28800E-03,-687.50000E-03,-575.00000E-03,-312.50000E-03,+414.99998E-03
-20.23800E-03,-687.50000E-03,-662.50000E-03,-387.50000E-03,+1.12374998E+00
-20.18800E-03,-612.50000E-03,-262.50000E-03,-550.00000E-03,+1.09749998E+00
-20.13800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+464.99998E-03
-20.08800E-03,-375.00000E-03,-575.00000E-03,-550.00000E-03,+1.08624998E+00
-20.03800E-03,-375.00000E-03,-662.50000E-03,-312.50000E-03,+1.52749998E+00
-19.98800E-03,-375.00000E-03,-112.50000E-03,-387.50000E-03,+721.24998E-03
-19.93800E-03,-375.00000E-03,+50.00000E-03,-625.00000E-03,+852.49998E-03
-19.88800E-03,-375.00000E-03,-262.50000E-03,-625.00000E-03,+1.51624998E+00
-19.83800E-03,-375.00000E-03,-425.00000E-03,-625.00000E-03,+1.39249998E+00
-19.78800E-03,-375.00000E-03,-262.50000E-03,-625.00000E-03,+909.99998E-03
-19.73800E-03,-375.00000E-03,-425.00000E-03,-625.00000E-03,+1.55499998E+00
-19.68800E-03,-375.00000E-03,-262.50000E-03,-550.00000E-03,+1.95874998E+00
-19.63800E-03,+450.00000E-03,-425.00000E-03,-387.50000E-03,+786.24998E-03
-19.58800E-03,+3.06250000E+00,-262.50000E-03,-625.00000E-03,-53.75002E-03
-19.53800E-03,+2.01250000E+00,-500.00000E-03,-625.00000E-03,-133.75002E-03
-19.48800E-03,-1.23750000E+00,-500.00000E-03,-625.00000E-03,-477.50002E-03
-19.43800E-03,-25.00000E-03,-500.00000E-03,-625.00000E-03,-227.50002E-03
-19.38800E-03,+2.08750000E+00,-500.00000E-03,-625.00000E-03,-82.50002E-03
-19.33800E-03,-1.07500000E+00,-500.00000E-03,-700.00000E-03,-315.00002E-03
-19.28800E-03,-187.50000E-03,-500.00000E-03,-787.50000E-03,-450.00002E-03
-19.23800E-03,+3.60000000E+00,-500.00000E-03,-312.50000E-03,+17.49998E-03
-19.18800E-03,+3.03750000E+00,-575.00000E-03,-387.50000E-03,-141.25002E-03
-19.13800E-03,-100.00000E-03,-662.50000E-03,-550.00000E-03,-456.25002E-03
-19.08800E-03,+3.12500000E+00,-187.50000E-03,-312.50000E-03,-92.50002E-03
-19.03800E-03,+2.96250000E+00,-187.50000E-03,-387.50000E-03,-113.75002E-03
-18.98800E-03,-1.23750000E+00,-262.50000E-03,-475.00000E-03,-226.25002E-03
-18.93800E-03,+425.00000E-03,-425.00000E-03,-75.00000E-03,-108.75002E-03
-18.88800E-03,+4.93750000E+00,-262.50000E-03,-387.50000E-03,-37.50002E-03
-18.83800E-03,+3.58750000E+00,-500.00000E-03,-550.00000E-03,-97.50002E-03
-18.78800E-03,+737.50000E-03,-425.00000E-03,-387.50000E-03,-235.00002E-03
-18.73800E-03,+5.32500000E+00,-262.50000E-03,-550.00000E-03,-53.75002E-03
-18.68800E-03,+3.91250000E+00,-500.00000E-03,-387.50000E-03,-58.75002E-03
-18.63800E-03,+562.50000E-03,-500.00000E-03,-550.00000E-03,-172.50002E-03
-18.58800E-03,+6.35000000E+00,-500.00000E-03,-312.50000E-03,-13.75002E-03
-18.53800E-03,+4.22500000E+00,-575.00000E-03,-387.50000E-03,-52.50002E-03
-18.48800E-03,-100.00000E-03,-737.50000E-03,-550.00000E-03,-85.00002E-03
-18.43800E-03,+3.57500000E+00,-425.00000E-03,-387.50000E-03,-22.50002E-03
-18.38800E-03,+6.26250000E+00,-262.50000E-03,-550.00000E-03,+17.49998E-03
-18.33800E-03,+4.70000000E+00,-500.00000E-03,-387.50000E-03,-36.25002E-03
-18.28800E-03,+950.00000E-03,-500.00000E-03,-550.00000E-03,-108.75002E-03
-18.23800E-03,+7.12500000E+00,-500.00000E-03,-312.50000E-03,-45.00002E-03
-18.18800E-03,+5.10000000E+00,-500.00000E-03,-387.50000E-03,-68.75002E-03
